neighbourhood_group,neighbourhood
,Agincourt North
,Agincourt South-Malvern West
,Alderwood
,Annex
,Banbury-Don Mills
,Bathurst Manor
,Bay Street Corridor
,Bayview Village
,Bayview Woods-Steeles
,Bedford Park-Nortown
,Beechborough-Greenbrook
,Bendale
,Birchcliffe-Cliffside
,Black Creek
,Blake-Jones
,Briar Hill-Belgravia
,Bridle Path-Sunnybrook-York Mills
,Broadview North
,Brookhaven-Amesbury
,Cabbagetown-South St.James Town
,Caledonia-Fairbank
,Casa Loma
,Centennial Scarborough
,Church-Yonge Corridor
,Clairlea-Birchmount
,Clanton Park
,Cliffcrest
,Corso Italia-Davenport
,Danforth
,Danforth East York
,Don Valley Village
,Dorset Park
,Dovercourt-Wallace Emerson-Junction
,Downsview-Roding-CFB
,Dufferin Grove
,East End-Danforth
,Edenbridge-Humber Valley
,Eglinton East
,Elms-Old Rexdale
,Englemount-Lawrence
,Eringate-Centennial-West Deane
,Etobicoke West Mall
,Flemingdon Park
,Forest Hill North
,Forest Hill South
,Glenfield-Jane Heights
,Greenwood-Coxwell
,Guildwood
,Henry Farm
,Highland Creek
,High Park North
,High Park-Swansea
,Hillcrest Village
,Humber Heights-Westmount
,Humbermede
,Humber Summit
,Humewood-Cedarvale
,Ionview
,Islington-City Centre West
,Junction Area
,Keelesdale-Eglinton West
,Kennedy Park
,Kensington-Chinatown
,Kingsview Village-The Westway
,Kingsway South
,Lambton Baby Point
,L'Amoreaux
,Lansing-Westgate
,Lawrence Park North
,Lawrence Park South
,Leaside-Bennington
,Little Portugal
,Long Branch
,Malvern
,Maple Leaf
,Markland Wood
,Milliken
,Mimico (includes Humber Bay Shores)
,Morningside
,Moss Park
,Mount Dennis
,Mount Olive-Silverstone-Jamestown
,Mount Pleasant East
,Mount Pleasant West
,Newtonbrook East
,Newtonbrook West
,New Toronto
,Niagara
,North Riverdale
,North St.James Town
,Oakridge
,Oakwood Village
,O'Connor-Parkview
,Old East York
,Palmerston-Little Italy
,Parkwoods-Donalda
,Pelmo Park-Humberlea
,Playter Estates-Danforth
,Pleasant View
,Princess-Rosethorn
,Regent Park
,Rexdale-Kipling
,Rockcliffe-Smythe
,Roncesvalles
,Rosedale-Moore Park
,Rouge
,Runnymede-Bloor West Village
,Rustic
,Scarborough Village
,South Parkdale
,South Riverdale
,St.Andrew-Windfields
,Steeles
,Stonegate-Queensway
,Tam O'Shanter-Sullivan
,Taylor-Massey
,The Beaches
,Thistletown-Beaumond Heights
,Thorncliffe Park
,Trinity-Bellwoods
,University
,Victoria Village
,Waterfront Communities-The Island
,West Hill
,West Humber-Clairville
,Westminster-Branson
,Weston
,Weston-Pellam Park
,Wexford/Maryvale
,Willowdale East
,Willowdale West
,Willowridge-Martingrove-Richview
,Woburn
,Woodbine Corridor
,Woodbine-Lumsden
,Wychwood
,Yonge-Eglinton
,Yonge-St.Clair
,Yorkdale-Glen Park
,York University Heights
